study_hours,attendance,previous_score,assignment_score,sleep_hours,final_score
3.6,70,56,63,7.1,59
2.5,50,43,44,7.1,38
4.4,65,51,59,6.2,53
6.1,76,64,65,8.1,63
9.4,94,97,88,6.7,90
3.9,66,64,55,5.7,57
5.5,76,71,73,7.4,68
4.0,78,61,65,6.4,60
6.8,90,83,88,7.6,79
10.0,96,100,100,5.7,99
5.4,60,60,67,8.1,62
3.5,68,53,58,7.5,52
6.7,92,78,84,6.1,79
6.4,71,76,80,6.1,74
8.7,97,95,91,8.8,91
5.7,81,66,72,6.6,65
4.9,80,61,70,6.4,69
5.9,82,76,77,5.4,72
7.2,92,86,86,7.0,84
7.1,88,81,75,7.1,81
6.1,72,76,69,7.8,79
6.8,94,79,80,6.2,76
7.2,92,76,83,6.1,81
7.6,96,85,82,7.7,82
6.1,100,80,77,8.0,78
4.7,65,70,58,5.8,58
6.6,87,72,65,8.0,68
7.8,90,86,87,7.4,85
3.5,69,57,60,7.8,52
6.4,81,70,71,7.1,73
4.3,70,61,58,5.0,57
6.1,74,74,64,7.0,69
7.8,94,81,84,8.2,83
5.5,72,76,73,6.4,69
5.6,81,66,73,6.8,69
1.7,59,53,47,6.7,42
5.8,80,72,73,4.9,69
5.5,82,78,78,8.6,73
9.2,100,94,93,6.8,92
5.9,71,57,62,7.4,56
7.2,81,71,77,7.1,78
6.1,76,75,75,8.2,71
8.4,100,86,90,7.7,92
3.8,79,60,61,6.9,62
5.3,90,71,73,6.4,68
5.7,83,75,81,7.9,72
5.1,83,72,69,5.6,74
4.3,72,65,68,7.5,68
5.2,86,69,76,6.3,70
5.7,86,89,90,8.3,84
3.9,68,54,56,7.0,53
4.7,78,67,72,7.6,68
4.1,68,51,65,7.0,55
8.8,92,83,86,5.9,80
1.8,60,44,45,6.1,38
2.4,70,63,58,7.5,55
5.7,83,74,74,7.3,69
8.8,100,84,83,8.4,87
6.5,81,67,66,7.4,66
3.3,75,62,65,6.2,57
8.9,97,99,84,6.8,93
2.3,55,50,55,6.9,48
1.2,55,39,43,4.8,37
7.8,87,73,72,8.5,79
3.2,78,62,64,7.4,61
3.5,62,58,54,7.9,57
6.8,84,72,83,6.0,75
6.4,72,69,76,8.1,70
4.3,68,56,54,8.8,52
3.1,67,51,53,5.8,49
6.5,85,84,79,7.9,82
6.6,88,74,77,7.2,79
4.8,75,56,63,5.8,62
9.0,100,91,100,7.9,91
3.0,58,56,58,7.6,55
2.7,59,48,44,6.3,40
3.9,54,59,53,7.9,55
5.9,76,65,66,5.8,64
5.6,72,65,73,6.0,68
3.5,80,66,66,7.2,59
6.7,85,69,78,7.2,77
2.3,64,58,55,6.3,47
7.3,100,89,92,8.0,87
4.6,71,64,68,7.5,61
8.2,99,80,77,8.0,78
4.3,86,71,72,7.1,69
8.2,81,72,79,7.7,82
7.0,90,79,75,6.9,84
6.2,77,74,76,8.8,74
6.3,81,73,75,6.6,76
7.8,90,93,81,9.1,87
5.9,77,70,70,7.2,70
6.9,80,80,79,6.1,76
5.4,82,63,64,8.2,66
7.9,93,89,86,7.5,88
3.8,71,59,55,7.6,54
8.3,96,85,97,8.4,90
5.0,67,74,66,7.4,66
3.4,61,52,55,6.3,53
5.8,69,67,77,7.9,67
1.9,68,53,58,7.0,51
7.2,80,80,75,7.8,82
4.2,79,58,50,5.2,58
4.4,76,62,55,7.4,62
1.5,55,41,36,6.2,37
5.2,78,63,68,8.3,66
1.5,44,39,36,7.1,37
1.8,61,47,48,7.0,48
6.9,87,73,68,7.6,68
5.9,88,83,73,6.5,72
5.0,88,80,78,8.5,79
3.0,69,66,56,8.5,56
5.7,78,62,67,7.4,64
5.9,69,68,70,8.4,65
3.5,58,42,60,6.4,48
8.4,94,90,87,6.8,85
7.1,88,77,80,7.3,84
4.4,69,72,66,7.4,64
5.6,89,64,79,6.8,71
6.1,87,63,61,7.6,67
2.1,56,37,44,6.9,42
5.6,74,56,64,6.3,64
4.5,68,60,61,7.4,62
3.6,60,45,52,7.6,47
5.4,74,63,64,7.2,63
8.4,100,84,95,8.4,92
5.7,78,75,91,6.3,76
4.1,72,66,64,7.4,62
5.7,83,76,72,6.3,73
